file,function,search,min,mean,max
kroa,random_cycle,none,328438,341608,362492
kroa,random_cycle,Evolutionary,33533,34904,35958
kroa,random_cycle,Evolutionary_local_search,31664,32996,33670
krob,random_cycle,none,310919,329954,345199
krob,random_cycle,Evolutionary,32753,35529,36722
krob,random_cycle,Evolutionary_local_search,32723,33322,34095
