file,function,search,min,mean,max
kroa,random_cycle,none,332381,332381,332381
kroa,random_cycle,Natura_local_search,32460,32460,32460
krob,random_cycle,none,335228,335228,335228
krob,random_cycle,Natura_local_search,31991,31991,31991
